Brand,Model,Continuous Current [A],Peak Current [A],Voltage (LiPo),Weight (g),Length [mm],Width [mm],Height [mm],Volume [mm³],Response Time [ms],Frequency [Hz]
Tmotor,FLAME 60A 12S,60,80,6-12S,73.5,66.5,38.5,17.7,45316.425,N/A,N/A
Tmotor,FLAME 70A 6S,70,80,4-6S,55,56.6,36.4,16.1,33169.864,N/A,N/A
Tmotor,FLAME 80A 12S V2.0,80,120,6-12S,109,84,35.5,19.5,58149,N/A,N/A
Tmotor,FLAME 100A 6S,100,120,4-8S,78.5,72.2,30.6,17.3,38221.236,N/A,N/A
Tmotor,FLAME 100A 14S,100,120,6-14S,139,86.1,54.1,24,111792.24,N/A,N/A
Tmotor,FLAME 180A 12S V2.0,180,200,6-14S,279,112.2,50.5,35.5,201146.55,N/A,N/A
Tmotor,FLAME 200A 14S,200,240,6-14S,558,106,50,48.5,257050,N/A,N/A
Tmotor,T 60A,60,80,2-6S,60,70,31,14,30380,N/A,N/A
Tmotor,T 80A,80,100,2-6S,62,70,31,17.5,37975,N/A,N/A
Tmotor,ALPHA 40A 6S,40,60,6S,54.5,64.5,29.2,14.5,27309.3,120,500
Tmotor,ALPHA 60A 6S,40,60,6S,62.8,71.3,32.5,15.9,36844.275,50,500
Tmotor,ALPHA 60A 12S V1.2,60,80,12S,73,78.7,32.5,16.2,41435.55,300,500
Tmotor,ALPHA 60A 24S,40,60,24S,360,110,55,25,151250,50,500
